best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
87.7525,real_chemlex_acidamine,97.66,llm_direct_prior_random_rule_r1_reagent_effect_on_conversion_hypothesis,42002,2.34,0
64.5,real_chemlex_acidamine,74.4,llm_direct_prior_random_rule_r2_acid_amine_coupling_hypothesis,42002,25.6,0
68.3875,real_chemlex_acidamine,75.17,llm_direct_prior_random_rule_r2_amine_aromatic_interaction_hypothesis,42002,24.83,0
75.29,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r2_amine_branching_effect_hypothesis,42002,14.6,0
75.29,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r2_aromatic_acid_amine_interaction_hypothesis,42002,14.6,0
75.29,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r2_reagent_effect_on_conversion_hypothesis,42002,14.6,0
64.5,real_chemlex_acidamine,74.4,llm_direct_prior_random_rule_r3_acid_amine_coupling_hypothesis,42002,25.6,0
75.29,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r3_amine_aromatic_interaction_hypothesis,42002,14.6,0
75.29,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r3_amine_branching_effect_hypothesis,42002,14.6,0
75.29,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r3_aromatic_acid_amine_interaction_hypothesis,42002,14.6,0
96.1637,real_chemlex_acidamine,96.17,llm_direct_prior_random_rule_r3_reagent_effect_on_conversion_hypothesis,42002,3.83,0
75.29,real_chemlex_acidamine,85.4,llm_direct_prior_reagent_effect_on_conversion_hypothesis,42002,14.6,0
87.1325,real_chemlex_acidamine,100.0,mixed_kernel_gp_ei,42002,0.0,0
88.13,real_chemlex_acidamine,95.33,gp_ucb,42003,4.67,0
93.13,real_chemlex_acidamine,93.13,llm_direct_prior_acid_amine_coupling_hypothesis,42003,6.87,0
78.7288,real_chemlex_acidamine,81.09,llm_direct_prior_amine_aromatic_interaction_hypothesis,42003,18.91,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_amine_branching_effect_hypothesis,42003,26.63,0
72.9387,real_chemlex_acidamine,73.37,llm_direct_prior_aromatic_acid_amine_interaction_hypothesis,42003,26.63,0
73.6713,real_chemlex_acidamine,75.78,llm_direct_prior_random_rule_r1_acid_amine_coupling_hypothesis,42003,24.22,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r1_amine_aromatic_interaction_hypothesis,42003,26.63,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r1_amine_branching_effect_hypothesis,42003,26.63,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r1_aromatic_acid_amine_interaction_hypothesis,42003,26.63,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r1_reagent_effect_on_conversion_hypothesis,42003,26.63,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r2_acid_amine_coupling_hypothesis,42003,26.63,0
72.9387,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r2_amine_aromatic_interaction_hypothesis,42003,26.63,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r2_amine_branching_effect_hypothesis,42003,26.63,0
72.85,real_chemlex_acidamine,75.78,llm_direct_prior_random_rule_r2_aromatic_acid_amine_interaction_hypothesis,42003,24.22,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r2_reagent_effect_on_conversion_hypothesis,42003,26.63,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r3_acid_amine_coupling_hypothesis,42003,26.63,0
80.5938,real_chemlex_acidamine,84.42,llm_direct_prior_random_rule_r3_amine_aromatic_interaction_hypothesis,42003,15.58,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_random_rule_r3_amine_branching_effect_hypothesis,42003,26.63,0
74.575,real_chemlex_acidamine,75.78,llm_direct_prior_random_rule_r3_aromatic_acid_amine_interaction_hypothesis,42003,24.22,0
81.1838,real_chemlex_acidamine,91.35,llm_direct_prior_random_rule_r3_reagent_effect_on_conversion_hypothesis,42003,8.65,0
73.37,real_chemlex_acidamine,73.37,llm_direct_prior_reagent_effect_on_conversion_hypothesis,42003,26.63,0
88.13,real_chemlex_acidamine,95.33,mixed_kernel_gp_ei,42003,4.67,0
25.9112,real_chemlex_acidamine,95.35,gp_ucb,42004,4.65,0
85.1187,real_chemlex_acidamine,96.85,llm_direct_prior_acid_amine_coupling_hypothesis,42004,3.15,0
43.3375,real_chemlex_acidamine,67.54,llm_direct_prior_amine_aromatic_interaction_hypothesis,42004,32.46,0
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_amine_branching_effect_hypothesis,42004,43.84,0
31.05,real_chemlex_acidamine,31.05,llm_direct_prior_aromatic_acid_amine_interaction_hypothesis,42004,68.95,0
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_random_rule_r1_acid_amine_coupling_hypothesis,42004,43.84,0
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_random_rule_r1_amine_aromatic_interaction_hypothesis,42004,43.84,0
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_random_rule_r1_amine_branching_effect_hypothesis,42004,43.84,0
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_random_rule_r1_aromatic_acid_amine_interaction_hypothesis,42004,43.84,0
65.4587,real_chemlex_acidamine,97.66,llm_direct_prior_random_rule_r1_reagent_effect_on_conversion_hypothesis,42004,2.34,0
49.2975,real_chemlex_acidamine,86.75,llm_direct_prior_random_rule_r2_acid_amine_coupling_hypothesis,42004,13.25,0
46.4513,real_chemlex_acidamine,67.54,llm_direct_prior_random_rule_r2_amine_aromatic_interaction_hypothesis,42004,32.46,0
68.6038,real_chemlex_acidamine,95.33,llm_direct_prior_random_rule_r2_amine_branching_effect_hypothesis,42004,4.67,0
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_random_rule_r2_aromatic_acid_amine_interaction_hypothesis,42004,43.84,0
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_random_rule_r2_reagent_effect_on_conversion_hypothesis,42004,43.84,0
49.2975,real_chemlex_acidamine,86.75,llm_direct_prior_random_rule_r3_acid_amine_coupling_hypothesis,42004,13.25,0
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_random_rule_r3_amine_aromatic_interaction_hypothesis,42004,43.84,0
