source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95208,3,12,77.6667,76.416692,2.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95209,3,12,79.6667,79.638917,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95209,3,12,79.3333,79.3333,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95209,3,12,79.3333,79.3333,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95209,3,12,79.3333,79.3333,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95210,3,12,79.3333,79.3333,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95210,3,12,69.3333,67.499983,10.3334,0,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95210,3,12,79.0,76.277758,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95210,3,12,79.3333,74.611092,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95211,3,12,79.3333,79.083325,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95211,3,12,76.3333,76.166633,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95211,3,12,79.3333,76.472192,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95211,3,12,76.3333,75.3333,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95212,3,12,79.6667,76.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95212,3,12,79.0,70.805558,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95212,3,12,79.3333,76.833325,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95212,3,12,79.3333,69.7222,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95213,3,12,79.6667,74.750017,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95213,3,12,69.3333,68.583317,10.3334,0,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95213,3,12,79.0,71.0,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95213,3,12,79.6667,74.222225,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95214,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95214,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95214,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95214,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95215,3,12,76.3333,74.9722,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95215,3,12,79.0,70.75,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95215,3,12,79.3333,71.222217,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95215,3,12,76.3333,75.472192,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95216,3,12,79.6667,79.611142,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95216,3,12,79.0,73.249975,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95216,3,12,71.3333,71.3333,8.3334,0,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95216,3,12,76.3333,75.8333,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95217,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95217,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95217,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95217,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95218,3,12,79.3333,78.19445,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95218,3,12,76.3333,76.27775,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95218,3,12,79.3333,77.166658,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95218,3,12,76.3333,76.16665,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95219,3,12,79.6667,75.638908,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95219,3,12,79.0,70.75,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95219,3,12,70.0,68.611125,9.6667,0,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95219,3,12,79.6667,72.083333,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95220,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95220,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95220,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95220,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95221,3,12,79.3333,77.055533,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95221,3,12,76.3333,75.972192,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95221,3,12,79.3333,75.444425,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95221,3,12,77.6667,75.7222,2.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95222,3,12,79.3333,79.138875,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95222,3,12,79.0,72.25,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95222,3,12,79.0,75.25,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95222,3,12,76.3333,76.166633,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95223,3,12,79.3333,77.499983,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95223,3,12,76.3333,76.111083,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95223,3,12,79.3333,77.4722,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95223,3,12,79.3333,77.194425,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95224,3,12,79.6667,73.833342,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95224,3,12,79.0,72.194442,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95224,3,12,79.0,70.444442,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95224,3,12,79.6667,76.416675,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95225,3,12,79.6667,76.7222,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95225,3,12,79.0,74.527758,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95225,3,12,79.3333,75.138858,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95225,3,12,79.3333,75.944417,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95226,3,12,79.3333,79.05555,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95226,3,12,76.3333,74.916642,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95226,3,12,79.6667,75.166667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95226,3,12,79.3333,79.083325,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95227,3,12,79.3333,71.555533,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95227,3,12,76.3333,71.05555,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95227,3,12,79.6667,74.888883,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95227,3,12,79.3333,70.499983,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95228,3,12,79.3333,73.305525,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95228,3,12,79.0,73.249975,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95228,3,12,79.6667,73.833308,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95228,3,12,79.0,73.305525,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95229,3,12,79.3333,76.611083,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95229,3,12,71.3333,70.111108,8.3334,0,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95229,3,12,79.3333,73.888875,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95229,3,12,79.3333,75.722192,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95230,3,12,79.3333,79.16665,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95230,3,12,69.3333,68.138875,10.3334,0,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95230,3,12,79.0,74.5,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95230,3,12,79.0,79.0,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95231,3,12,79.3333,76.749992,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95231,3,12,79.0,72.611083,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95231,3,12,79.0,73.249975,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95231,3,12,79.3333,75.27775,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95232,3,12,79.6667,70.361092,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95232,3,12,79.0,70.944442,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95232,3,12,79.3333,74.66665,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95232,3,12,79.0,68.972217,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95233,3,12,79.6667,71.888883,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95233,3,12,79.0,70.75,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95233,3,12,79.6667,72.472217,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95233,3,12,79.6667,70.999983,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95234,3,12,79.6667,78.80555,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95234,3,12,76.3333,75.8333,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95234,3,12,79.3333,76.055525,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95234,3,12,79.3333,78.08335,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95235,3,12,79.6667,79.6667,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95235,3,12,79.0,77.5,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95235,3,12,79.6667,78.888892,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95235,3,12,79.6667,78.583342,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95236,3,12,79.6667,76.05555,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95236,3,12,79.0,71.5,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95236,3,12,79.3333,67.805542,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95236,3,12,76.3333,75.416633,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95237,3,12,79.6667,78.194467,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95237,3,12,79.0,70.44445,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95237,3,12,79.6667,78.444433,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95237,3,12,79.3333,77.8611,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95238,3,12,79.6667,77.555575,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95238,3,12,76.3333,75.944417,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95238,3,12,77.0,74.694433,2.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95238,3,12,79.6667,77.194442,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95239,3,12,79.6667,76.08335,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95239,3,12,79.0,71.861108,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95239,3,12,79.3333,77.638875,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95239,3,12,79.6667,70.888867,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95240,3,12,79.6667,79.388917,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95240,3,12,76.3333,76.3333,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95240,3,12,76.3333,76.3333,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95240,3,12,79.0,77.2222,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95241,3,12,79.6667,78.33335,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95241,3,12,76.3333,74.805583,3.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95241,3,12,79.3333,77.555533,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95241,3,12,79.6667,77.3611,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95242,3,12,79.6667,79.638917,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95242,3,12,69.3333,67.499983,10.3334,0,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95242,3,12,79.0,75.249983,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95242,3,12,79.3333,74.41665,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95243,3,12,79.6667,78.833358,0.0,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_rgpe,95243,3,12,79.0,72.25,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_icm_bma,95243,3,12,79.0,70.75,0.6667,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,multisource_skill_prior,95243,3,12,79.3333,70.777775,0.3334,1,2,372
real_flip2_rhomax_train;real_flip2_rhomax_validation,real_flip2_rhomax_test,target_gp_ucb,95244,3,12,79.3333,77.388883,0.3334,1,2,372
