pair_id,domain,comparison,metric,count,mean,standard_deviation,normal_95ci_low,normal_95ci_high,positive_fraction,zero_fraction
esol_to_lipophilicity,molecular_property,source_router_minus_target_only_llm_router,final_best,300,0.6020833333333333,4.470809008111648,0.09616366760491524,1.1080029990617515,0.46,0.14
esol_to_lipophilicity,molecular_property,source_router_minus_target_only_llm_router,best_so_far_auc,300,1.3757916666666667,4.727015980265935,0.8408794527273076,1.910703880606026,0.6233333333333333,0.0033333333333333335
esol_to_lipophilicity,molecular_property,source_router_minus_target_only_llm_router,top10_hit,300,-0.05,0.6072306785645523,-0.11871461996297089,0.018714619962970885,0.16,0.63
esol_to_lipophilicity,molecular_property,source_router_minus_strongest_bo,final_best,300,2.368333333333333,5.155347717582799,1.784950820400873,2.9517158462657935,0.61,0.06
esol_to_lipophilicity,molecular_property,source_router_minus_strongest_bo,best_so_far_auc,300,3.091833333333333,4.937629594139136,2.5330879453676944,3.650578721298972,0.7366666666666667,0.006666666666666667
esol_to_lipophilicity,molecular_property,source_router_minus_strongest_bo,top10_hit,300,0.12666666666666668,0.5874571546795302,0.06018963157391341,0.19314370175941994,0.24333333333333335,0.64
esol_to_lipophilicity,molecular_property,target_only_llm_router_minus_strongest_bo,final_best,300,1.76625,5.30328080643227,1.1661272821683581,2.3663727178316423,0.54,0.15333333333333332
esol_to_lipophilicity,molecular_property,target_only_llm_router_minus_strongest_bo,best_so_far_auc,300,1.7160416666666667,4.726353464989397,1.1812044233884649,2.2508789099448685,0.6133333333333333,0.07333333333333333
esol_to_lipophilicity,molecular_property,target_only_llm_router_minus_strongest_bo,top10_hit,300,0.17666666666666667,0.5536037807334443,0.11402050146782035,0.239312831865513,0.25666666666666665,0.6633333333333333
lipophilicity_to_freesolv,molecular_property,source_router_minus_target_only_llm_router,final_best,300,-17.098549333333338,15.68069943323803,-18.87298751695021,-15.324111149716467,0.0,0.4
lipophilicity_to_freesolv,molecular_property,source_router_minus_target_only_llm_router,best_so_far_auc,300,-29.902247666666668,12.992918396228953,-31.372534793656506,-28.43196053967683,0.0,0.016666666666666666
lipophilicity_to_freesolv,molecular_property,source_router_minus_target_only_llm_router,top10_hit,300,-0.18666666666666668,0.3902947461236546,-0.23083267490727324,-0.1425006584260601,0.0,0.8133333333333334
lipophilicity_to_freesolv,molecular_property,source_router_minus_strongest_bo,final_best,300,16.305896999999998,21.564771711556084,13.865613356474771,18.746180643525225,0.7066666666666667,0.08
