mode,final_best_mean,best_so_far_auc_mean,simple_regret_mean,top10_hit_mean,intervention_count_mean,bad_intervention_count_mean,transfer_active_rounds_mean,transfer_scored_candidates_total_mean,llm_call_count_mean,llm_parse_error_count_mean,note
no_care_random,88.0639,81.3556,11.9361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,random baseline
incumbent,89.7358,86.6963,10.2642,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,public incumbent baseline
transfer_strict_gate_v1,89.7358,86.6963,10.2642,0.2000,0.6000,0.4000,6.6000,3859.2000,0.0000,0.0000,deterministic strict transfer
llm_transfer_gate_v1,87.2325,85.1085,12.7675,0.2000,4.8000,2.8000,6.8000,17429.6000,7.0000,0.0000,LLM factor proposal with gate
llm_transfer_strict_gate_v1,87.9673,85.1761,12.0327,0.2000,3.6000,1.4000,7.0000,3098.0000,7.0000,0.0000,LLM factor proposal with strict transfer filter
