source_dataset,target_dataset,selected_mode,selected_source_outcome_transfer,mechanism_classification,strongest_target_bo_mode,heldout_seed_count,calibration_seed_count,deployment_ready,selected_final_delta_vs_strongest_bo,selected_final_ci_low_vs_strongest_bo,selected_final_ci_high_vs_strongest_bo,selected_final_delta_vs_matched_llm,source_initial_active_seed_rate,positive_transfer_mass_round_rate,post_initialization_action_change_rate,offline_gross_reveal_equivalents,summary_path,warmstart_effect_mean,warmstart_effect_ci_low,warmstart_effect_ci_high,warmstart_effect_win_rate,warmstart_effect_exact_seed_match_rate,post_initialization_effect_mean,post_initialization_effect_ci_low,post_initialization_effect_ci_high,post_initialization_effect_win_rate,post_initialization_effect_exact_seed_match_rate,llm_increment_mean,llm_increment_ci_low,llm_increment_ci_high,llm_increment_win_rate,llm_increment_exact_seed_match_rate
real_chemlex_acidamine,real_buchwald_hartwig,llm_transfer_router,True,source_informed_initial_design_only,mixed_kernel_gp_ei,100,50,False,11.451676,9.025222,13.87813,10.343443,1.0,0.0,0.0,5250,experiments/care_replay/outputs/runs/calibrated_source_outcome_real_chemlex_acidamine_to_real_buchwald_hartwig_review_controls_50x100_20260807_v2_reaction_chemlex_to_buchwald_hartwig_summary.json,22.459555,18.196401,26.722709,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
real_matbench_dielectric,real_matbench_expt_gap,llm_transfer_router,True,source_informed_initial_design_only,mixed_kernel_gp_ei,100,50,False,42.46125,37.932485,46.990015,35.44625,1.0,0.692308,0.384615,5250,experiments/care_replay/outputs/runs/calibrated_source_outcome_real_matbench_dielectric_to_real_matbench_expt_gap_review_controls_50x100_20260807_v2_materials_dielectric_to_expt_gap_summary.json,85.616457,75.373821,95.859093,0.97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
real_matbench_expt_gap,real_matbench_dielectric,matched_target_only_llm,False,offline_selector_fallback,target_acquisition_portfolio,100,50,False,10.016575,6.562305,13.470845,0.0,1.0,0.461538,0.0,5250,experiments/care_replay/outputs/runs/calibrated_source_outcome_real_matbench_expt_gap_to_real_matbench_dielectric_review_controls_50x100_20260807_v2_materials_expt_gap_to_dielectric_summary.json,-0.912354,-6.080009,4.255301,0.51,0.0,0.0,0.0,0.0,0.0,1.0,29.4243,29.4243,29.4243,1.0,0.0
real_matbench_phonons,real_matbench_dielectric,matched_target_only_llm,False,offline_selector_fallback,target_acquisition_portfolio,100,50,False,3.368981,-0.331066,7.069028,0.0,1.0,0.563,0.019,5250,experiments/care_replay/outputs/runs/calibrated_source_outcome_real_matbench_phonons_to_real_matbench_dielectric_review_controls_50x100_20260807_v2_materials_phonons_to_dielectric_summary.json,3.360851,-1.565291,8.286993,0.56,0.09,-1.295583,-2.516025,-0.075141,0.0,0.91,-2.641922,-6.142397,0.858553,0.1,0.75
real_moleculenet_esol,real_moleculenet_lipophilicity,matched_target_only_llm,False,offline_selector_fallback,gp_ucb,100,50,False,1.08875,0.16466,2.01284,0.0,1.0,0.865,0.09,5250,experiments/care_replay/outputs/runs/calibrated_source_outcome_real_moleculenet_esol_to_real_moleculenet_lipophilicity_review_controls_50x100_20260807_v2_molecular_esol_to_lipophilicity_summary.json,0.789125,-0.686484,2.264734,0.47,0.09,-0.145,-0.565263,0.275263,0.1,0.75,-0.22275,-1.572693,1.127193,0.39,0.31
real_moleculenet_freesolv,real_moleculenet_lipophilicity,matched_target_only_llm,False,offline_selector_fallback,mixed_kernel_gp_ei,100,50,False,2.12625,1.087303,3.165197,0.0,1.0,0.0,0.0,5250,experiments/care_replay/outputs/runs/calibrated_source_outcome_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_review_controls_50x100_20260807_v2_molecular_freesolv_to_lipophilicity_summary.json,0.936584,-0.585525,2.458693,0.46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
real_moleculenet_lipophilicity,real_moleculenet_freesolv,matched_target_only_llm,False,offline_selector_fallback,target_acquisition_portfolio,100,50,False,31.760338,29.109232,34.411444,0.0,1.0,0.316,0.078,5250,experiments/care_replay/outputs/runs/calibrated_source_outcome_real_moleculenet_lipophilicity_to_real_moleculenet_freesolv_review_controls_50x100_20260807_v2_molecular_lipophilicity_to_freesolv_summary.json,-1.173054,-1.408258,-0.93785,0.0,0.47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
