method,method_label,round,seed_count,mean_best_so_far,bootstrap_ci95_low,bootstrap_ci95_high
target_gp_ucb,Target-only GP-UCB,1,100,-0.3025588517355054,-0.46423991064014924,-0.13006518297750125
target_gp_ucb,Target-only GP-UCB,2,100,-0.23580463420646944,-0.3915125310629489,-0.06593485124035081
target_gp_ucb,Target-only GP-UCB,3,100,-0.2008089672182276,-0.3519895433321031,-0.036624557603569585
target_gp_ucb,Target-only GP-UCB,4,100,-0.14424306693680852,-0.29804482932514403,0.01867651653452483
target_gp_ucb,Target-only GP-UCB,5,100,-0.12233614716027393,-0.2740597264868833,0.043582627378993516
target_gp_ucb,Target-only GP-UCB,6,100,-0.04856450569397152,-0.2057808234204677,0.11703327822032651
target_gp_ucb,Target-only GP-UCB,7,100,0.0821492775616892,-0.09292329227567994,0.2657673789231635
target_gp_ucb,Target-only GP-UCB,8,100,0.2876367265673473,0.08804374852323985,0.49540839125135333
target_gp_ucb,Target-only GP-UCB,9,100,0.43280028972423495,0.214436481277647,0.666013920912967
target_gp_ucb,Target-only GP-UCB,10,100,0.5130282752619931,0.29395198879218243,0.7437515934839583
target_gp_ucb,Target-only GP-UCB,11,100,0.5804797641933531,0.35168197854052885,0.8173320831489093
target_gp_ucb,Target-only GP-UCB,12,100,0.7727225318254592,0.5426532207062128,1.0198567844732505
multisource_skill_prior,Fixed skill prior,1,100,-0.2878796571462346,-0.4691194685203532,-0.09886073847672537
multisource_skill_prior,Fixed skill prior,2,100,0.016516579710337646,-0.18006870413486503,0.2254516085881547
multisource_skill_prior,Fixed skill prior,3,100,0.3737065819270889,0.16961727919653588,0.5839864390058735
multisource_skill_prior,Fixed skill prior,4,100,0.8255975386079166,0.6185394711882433,1.0305071620084674
multisource_skill_prior,Fixed skill prior,5,100,1.046940787908626,0.8462834784344967,1.2465186407625426
multisource_skill_prior,Fixed skill prior,6,100,1.2208160525618421,1.040967305144232,1.3947070391003644
multisource_skill_prior,Fixed skill prior,7,100,1.2978129638825988,1.1251106325945814,1.4628008725958896
multisource_skill_prior,Fixed skill prior,8,100,1.3736533981553043,1.2055317167050081,1.5363383949821714
multisource_skill_prior,Fixed skill prior,9,100,1.4413482450487327,1.2773058789658256,1.5998086771797544
multisource_skill_prior,Fixed skill prior,10,100,1.513955367175238,1.3409009465990267,1.6811357114371313
multisource_skill_prior,Fixed skill prior,11,100,1.5654906155725197,1.383261054182737,1.7449788284115788
multisource_skill_prior,Fixed skill prior,12,100,1.5886047039258264,1.4086109756464071,1.7659390824675227
source_additive_mutation_prior,LLM additive skill,1,100,-0.17376028248128816,-0.3376446197770126,0.00042209205909416223
source_additive_mutation_prior,LLM additive skill,2,100,-0.07151360612156107,-0.22463196595913684,0.09136524508478117
source_additive_mutation_prior,LLM additive skill,3,100,0.1128393911229293,-0.03664226270239198,0.26864604506504597
source_additive_mutation_prior,LLM additive skill,4,100,0.27242979260235,0.1286915040945802,0.4222785973453123
source_additive_mutation_prior,LLM additive skill,5,100,0.4026068164186755,0.26057981641371286,0.5484504662281482
source_additive_mutation_prior,LLM additive skill,6,100,0.6064111159999943,0.4729781390194478,0.7471630446223041
source_additive_mutation_prior,LLM additive skill,7,100,0.7579045738644274,0.6287418516416936,0.8904414910534235
source_additive_mutation_prior,LLM additive skill,8,100,0.8148896695710836,0.688511230427248,0.9434912894615771
source_additive_mutation_prior,LLM additive skill,9,100,0.8528420578956427,0.7229443257672387,0.9848259451383352
source_additive_mutation_prior,LLM additive skill,10,100,0.876088827119036,0.7505875580003445,1.0054212638511715
source_additive_mutation_prior,LLM additive skill,11,100,0.8984323777712112,0.7733330710936187,1.0278375285601833
source_additive_mutation_prior,LLM additive skill,12,100,0.9348587007520883,0.8121309414837934,1.0608858815670985
