target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90028,3,10,baumgartner_cn_aniline_ephos_014;baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_026,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,90029,3,10,baumgartner_cn_aniline_ephos_027;baumgartner_cn_aniline_ephos_009;baumgartner_cn_aniline_ephos_021,,96.4441,90.57284,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_space_filling,-1,3,10,baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_005;baumgartner_cn_aniline_ephos_008,,96.4441,91.98832,2.1856,1
real_baumgartner_cn_aniline_ephos,warmstart_all_0.40,-1,3,10,baumgartner_cn_aniline_ephos_033;baumgartner_cn_aniline_ephos_014;baumgartner_cn_aniline_ephos_013,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,warmstart_all_0.70,-1,3,10,baumgartner_cn_aniline_ephos_033;baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_009,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,warmstart_all_0.85,-1,3,10,baumgartner_cn_aniline_ephos_033;baumgartner_cn_aniline_ephos_006;baumgartner_cn_aniline_ephos_017,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,warmstart_same_substrate_then_precatalyst_0.40,-1,3,10,baumgartner_cn_aniline_ephos_032;baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_028,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos,96.4441,94.04134,2.1856,1
real_baumgartner_cn_aniline_ephos,warmstart_same_substrate_then_precatalyst_0.70,-1,3,10,baumgartner_cn_aniline_ephos_032;baumgartner_cn_aniline_ephos_024;baumgartner_cn_aniline_ephos_010,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos,98.6297,89.32943,0.0,1
real_baumgartner_cn_aniline_ephos,warmstart_same_substrate_then_precatalyst_0.85,-1,3,10,baumgartner_cn_aniline_ephos_032;baumgartner_cn_aniline_ephos_024;baumgartner_cn_aniline_ephos_011,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,warmstart_same_precatalyst_then_substrate_0.70,-1,3,10,baumgartner_cn_aniline_ephos_032;baumgartner_cn_aniline_ephos_024;baumgartner_cn_aniline_ephos_010,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos,98.6297,89.32943,0.0,1
real_baumgartner_cn_aniline_ephos,warmstart_same_precatalyst_then_substrate_0.85,-1,3,10,baumgartner_cn_aniline_ephos_032;baumgartner_cn_aniline_ephos_024;baumgartner_cn_aniline_ephos_011,real_baumgartner_cn_aniline_tbuxphos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos,96.4441,96.4441,2.1856,1
