best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
64.114,real_moleculenet_freesolv_continuous,65.0673,llm_direct_prior_ring_structure_influence,44002,33.2928,0
62.4547,real_moleculenet_freesolv_continuous,62.855,mixed_kernel_gp_ei,44002,35.5051,0
63.9883,real_moleculenet_freesolv_continuous,89.7154,gp_ucb,44003,8.6447,1
67.7445,real_moleculenet_freesolv_continuous,90.7711,llm_direct_prior_branching_effect_on_solubility,44003,7.589,1
62.6848,real_moleculenet_freesolv_continuous,71.5449,llm_direct_prior_double_bond_restriction,44003,26.8152,0
67.1879,real_moleculenet_freesolv_continuous,86.3185,llm_direct_prior_hydrogen_bonding_effect,44003,12.0416,0
61.8751,real_moleculenet_freesolv_continuous,65.0673,llm_direct_prior_random_rule_r1_branching_effect_on_solubility,44003,33.2928,0
62.6848,real_moleculenet_freesolv_continuous,71.5449,llm_direct_prior_random_rule_r1_double_bond_restriction,44003,26.8152,0
60.279,real_moleculenet_freesolv_continuous,65.0673,llm_direct_prior_random_rule_r1_hydrogen_bonding_effect,44003,33.2928,0
67.7445,real_moleculenet_freesolv_continuous,90.7711,llm_direct_prior_random_rule_r1_ring_structure_influence,44003,7.589,1
67.7445,real_moleculenet_freesolv_continuous,90.7711,llm_direct_prior_random_rule_r2_branching_effect_on_solubility,44003,7.589,1
80.6918,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_random_rule_r2_double_bond_restriction,44003,5.0583,1
67.1879,real_moleculenet_freesolv_continuous,86.3185,llm_direct_prior_random_rule_r2_hydrogen_bonding_effect,44003,12.0416,0
69.6395,real_moleculenet_freesolv_continuous,90.7711,llm_direct_prior_random_rule_r2_ring_structure_influence,44003,7.589,1
64.5315,real_moleculenet_freesolv_continuous,86.3185,llm_direct_prior_random_rule_r3_branching_effect_on_solubility,44003,12.0416,0
59.2017,real_moleculenet_freesolv_continuous,64.4741,llm_direct_prior_random_rule_r3_double_bond_restriction,44003,33.886,0
60.279,real_moleculenet_freesolv_continuous,65.0673,llm_direct_prior_random_rule_r3_hydrogen_bonding_effect,44003,33.2928,0
61.8751,real_moleculenet_freesolv_continuous,65.0673,llm_direct_prior_random_rule_r3_ring_structure_influence,44003,33.2928,0
67.7445,real_moleculenet_freesolv_continuous,90.7711,llm_direct_prior_ring_structure_influence,44003,7.589,1
63.3451,real_moleculenet_freesolv_continuous,89.7154,mixed_kernel_gp_ei,44003,8.6447,1
63.212,real_moleculenet_freesolv_continuous,72.5518,gp_ucb,44004,25.8083,0
72.0912,real_moleculenet_freesolv_continuous,93.163,llm_direct_prior_branching_effect_on_solubility,44004,5.1971,1
70.9777,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_double_bond_restriction,44004,21.4721,0
68.2249,real_moleculenet_freesolv_continuous,82.1714,llm_direct_prior_hydrogen_bonding_effect,44004,16.1887,0
67.0182,real_moleculenet_freesolv_continuous,73.9621,llm_direct_prior_random_rule_r1_branching_effect_on_solubility,44004,24.398,0
70.9777,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r1_double_bond_restriction,44004,21.4721,0
79.6311,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_random_rule_r1_hydrogen_bonding_effect,44004,5.0583,1
75.0811,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_random_rule_r1_ring_structure_influence,44004,5.0583,1
72.0912,real_moleculenet_freesolv_continuous,93.163,llm_direct_prior_random_rule_r2_branching_effect_on_solubility,44004,5.1971,1
69.1768,real_moleculenet_freesolv_continuous,95.7057,llm_direct_prior_random_rule_r2_double_bond_restriction,44004,2.6544,1
68.2249,real_moleculenet_freesolv_continuous,82.1714,llm_direct_prior_random_rule_r2_hydrogen_bonding_effect,44004,16.1887,0
68.8322,real_moleculenet_freesolv_continuous,76.888,llm_direct_prior_random_rule_r2_ring_structure_influence,44004,21.4721,0
