case_id,domain,gate_round,selected_threshold,mean_absolute_prediction_error,hard_abstention,hard_abstention_enabled,force_fallback_after_gate_round,gate_switched_to_target_gp,fallback_rounds,nominal_llm_calls_avoided,online_llm_auc,gated_auc,target_gp_auc,strongest_realized_baseline_auc,online_llm_minus_target_gp_auc,gated_minus_target_gp_auc,gated_minus_online_llm_auc,gated_minus_strongest_realized_baseline_auc,gated_final
molecular_lipophilicity_to_freesolv,molecular_property,3,5.0,7.33449860988392,True,True,False,True,7,7,90.137705,91.836404,89.715448,90.56383,0.422257,2.120956,1.698699,1.272574,93.95736
materials_bulk_to_shear_modulus,materials_property,3,5.0,4.719066666666667,True,True,False,True,7,7,61.09267,61.09267,62.21681,74.96837,-1.12414,-1.12414,0.0,-13.8757,61.295
materials_phonons_to_perovskites,materials_property,3,5.0,5.782933333333333,True,True,False,True,7,7,33.67466,26.51279,39.3468,42.49913,-5.67214,-12.83401,-7.16187,-15.98634,30.1535
materials_expt_gap_to_steels,materials_property,3,5.0,10.7522,True,True,False,True,7,7,82.65733,82.65733,82.65733,82.91,0.0,0.0,0.0,-0.25267,82.91
molecular_freesolv_to_bace,molecular_property,3,5.0,7.374733333333334,True,True,False,True,7,7,71.81969,71.81969,71.81969,71.81969,0.0,0.0,0.0,0.0,73.7823
materials_perovskites_to_mp_e_form,materials_property,3,5.0,7.432866666666669,False,True,False,True,7,7,96.37871,96.37032,96.3393,97.90562,0.03941,0.03102,-0.00839,-1.5353,96.391
