dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_suzuki_miyaura,knn_ucb,15,95.0559,90.2586,4.9441,0
real_suzuki_miyaura,random,16,85.9474,82.31,14.0526,0
real_suzuki_miyaura,public_incumbent,16,98.6922,95.8006,1.3078,1
real_suzuki_miyaura,mixed_kernel_gp_ucb,16,93.3753,84.2558,6.6247,0
real_suzuki_miyaura,mixed_kernel_gp_ei,16,93.3753,84.2558,6.6247,0
real_suzuki_miyaura,knn_ucb,16,89.8685,83.4746,10.1315,0
real_suzuki_miyaura,random,17,90.7497,90.7497,9.2503,0
real_suzuki_miyaura,public_incumbent,17,97.4549,96.6879,2.5451,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,17,96.1623,96.1542,3.8377,0
real_suzuki_miyaura,mixed_kernel_gp_ei,17,96.1623,96.1526,3.8377,0
real_suzuki_miyaura,knn_ucb,17,97.2496,93.9997,2.7504,0
real_suzuki_miyaura,random,18,89.8003,89.8003,10.1997,0
real_suzuki_miyaura,public_incumbent,18,94.8183,94.8183,5.1817,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,18,98.6922,97.9924,1.3078,1
real_suzuki_miyaura,mixed_kernel_gp_ei,18,98.6922,97.9924,1.3078,1
real_suzuki_miyaura,knn_ucb,18,96.7008,94.3254,3.2992,0
real_suzuki_miyaura,random,19,72.8204,72.8204,27.1796,0
real_suzuki_miyaura,public_incumbent,19,87.814,85.4643,12.186,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,19,86.4021,82.9653,13.5979,0
real_suzuki_miyaura,mixed_kernel_gp_ei,19,86.4021,82.9653,13.5979,0
real_suzuki_miyaura,knn_ucb,19,87.6071,86.2918,12.3929,0
real_suzuki_miyaura,random,20,90.794,85.1642,9.206,0
real_suzuki_miyaura,public_incumbent,20,93.4276,90.906,6.5724,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,20,93.9499,89.4312,6.0501,0
real_suzuki_miyaura,mixed_kernel_gp_ei,20,93.9499,89.4312,6.0501,0
real_suzuki_miyaura,knn_ucb,20,96.2966,89.0053,3.7034,0
real_suzuki_miyaura,random,21,88.7044,85.7159,11.2956,0
real_suzuki_miyaura,public_incumbent,21,91.8802,90.492,8.1198,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,21,91.8802,88.8172,8.1198,0
real_suzuki_miyaura,mixed_kernel_gp_ei,21,94.0778,90.7117,5.9222,0
real_suzuki_miyaura,knn_ucb,21,91.5657,86.3926,8.4343,0
real_suzuki_miyaura,random,22,88.0602,85.6453,11.9398,0
real_suzuki_miyaura,public_incumbent,22,91.8179,83.6703,8.1821,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,22,92.6924,81.264,7.3076,0
real_suzuki_miyaura,mixed_kernel_gp_ei,22,92.6924,81.264,7.3076,0
real_suzuki_miyaura,knn_ucb,22,90.0533,67.8855,9.9467,0
real_suzuki_miyaura,random,23,93.6679,92.3875,6.3321,0
real_suzuki_miyaura,public_incumbent,23,93.6487,93.6214,6.3513,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,23,96.9708,96.3357,3.0292,0
real_suzuki_miyaura,mixed_kernel_gp_ei,23,96.1446,95.772,3.8554,0
real_suzuki_miyaura,knn_ucb,23,97.0915,96.297,2.9085,0
real_suzuki_miyaura,random,24,88.5466,88.5466,11.4534,0
real_suzuki_miyaura,public_incumbent,24,93.0473,93.0473,6.9527,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,24,95.2867,95.0279,4.7133,0
real_suzuki_miyaura,mixed_kernel_gp_ei,24,95.2867,95.0279,4.7133,0
real_suzuki_miyaura,knn_ucb,24,95.2867,93.421,4.7133,0
real_suzuki_miyaura,random,25,100.0,100.0,0.0,1
real_suzuki_miyaura,public_incumbent,25,100.0,100.0,0.0,1
real_suzuki_miyaura,mixed_kernel_gp_ucb,25,100.0,100.0,0.0,1
real_suzuki_miyaura,mixed_kernel_gp_ei,25,100.0,100.0,0.0,1
real_suzuki_miyaura,knn_ucb,25,100.0,100.0,0.0,1
