dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,transfer_plus_local_gate_v1,6,91.24,62.8491,8.76,0,2,2,0,7,20293,48,0.3267,0.5,0
real_suzuki_miyaura,no_care_random,7,94.8302,94.8302,5.1698,0,0,0,0,0,0,48,0.411,0.5,0
real_suzuki_miyaura,incumbent,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,48,0.411,0.5,0
real_suzuki_miyaura,target_local_no_gate,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,48,0.411,0.5,0
real_suzuki_miyaura,target_local_gate_v1,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,48,0.411,0.5,0
real_suzuki_miyaura,transfer_no_gate,7,95.8453,95.8409,4.1547,0,4,3,0,7,31759,48,0.411,0.5,0
real_suzuki_miyaura,transfer_gate_v1,7,95.8453,95.8409,4.1547,0,4,3,0,7,31759,48,0.411,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,7,95.8453,95.8409,4.1547,0,1,1,0,7,30583,48,0.411,0.5,0
real_suzuki_miyaura,no_care_random,8,82.299,81.9615,17.701,0,0,0,0,0,0,48,0.3825,0.5,0
real_suzuki_miyaura,incumbent,8,92.6924,91.7522,7.3076,0,0,0,0,0,0,48,0.3825,0.5,0
real_suzuki_miyaura,target_local_no_gate,8,92.6924,91.7522,7.3076,0,0,0,0,0,0,48,0.3825,0.5,0
real_suzuki_miyaura,target_local_gate_v1,8,92.6924,91.7522,7.3076,0,0,0,0,0,0,48,0.3825,0.5,0
real_suzuki_miyaura,transfer_no_gate,8,92.6924,91.7522,7.3076,0,0,0,0,7,35282,48,0.3825,0.5,0
real_suzuki_miyaura,transfer_gate_v1,8,92.6924,91.7522,7.3076,0,0,0,0,7,35282,48,0.3825,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,8,92.6924,91.7522,7.3076,0,0,0,0,7,35282,48,0.3825,0.5,0
real_suzuki_miyaura,no_care_random,9,92.4342,88.183,7.5658,0,0,0,0,0,0,48,0.3251,0.5,0
real_suzuki_miyaura,incumbent,9,92.7651,89.2318,7.2349,0,0,0,0,0,0,48,0.3251,0.5,0
real_suzuki_miyaura,target_local_no_gate,9,92.7651,89.2318,7.2349,0,0,0,0,0,0,48,0.3251,0.5,0
real_suzuki_miyaura,target_local_gate_v1,9,92.7651,89.2318,7.2349,0,0,0,0,0,0,48,0.3251,0.5,0
real_suzuki_miyaura,transfer_no_gate,9,91.8578,84.7244,8.1422,0,7,6,0,7,31330,48,0.3251,0.5,0
real_suzuki_miyaura,transfer_gate_v1,9,91.8578,84.7244,8.1422,0,7,6,0,7,31330,48,0.3251,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,9,92.7651,90.1151,7.2349,0,6,3,0,7,30383,48,0.3251,0.5,0
real_suzuki_miyaura,no_care_random,10,86.8849,76.5101,13.1151,0,0,0,0,0,0,48,0.4122,0.5,0
real_suzuki_miyaura,incumbent,10,96.7609,78.0058,3.2391,0,0,0,0,0,0,48,0.4122,0.5,0
