dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,mean_transfer_confidence
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,8,93.5641,85.9613,6.4359,0,0,0,0,7,26518,0.462
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,8,93.5641,85.9613,6.4359,0,0,0,0,7,26518,0.462
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,8,93.5641,85.9613,6.4359,0,0,0,0,7,26518,0.462
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,8,93.5641,85.9613,6.4359,0,0,0,0,7,26518,0.462
real_buchwald_hartwig,gp_ucb,9,100.0,93.882,0.0,1,0,0,0,0,0,0.4843
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,9,90.9905,89.3773,9.0095,0,4,2,0,7,20272,0.4843
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,9,90.9905,89.3773,9.0095,0,4,2,0,7,20272,0.4843
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,9,90.9905,89.3773,9.0095,0,4,2,0,7,20272,0.4843
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,9,90.9905,89.3773,9.0095,0,4,2,0,7,20272,0.4843
real_buchwald_hartwig,gp_ucb,10,89.9742,84.2803,10.0258,0,0,0,0,0,0,0.4863
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,10,89.9742,84.2803,10.0258,0,1,0,0,7,26993,0.4863
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,10,89.9742,84.2803,10.0258,0,1,0,0,7,26993,0.4863
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,10,89.9742,84.2803,10.0258,0,1,0,0,7,26993,0.4863
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,10,89.9742,84.2803,10.0258,0,1,0,0,7,26993,0.4863
real_buchwald_hartwig,gp_ucb,11,89.9742,86.077,10.0258,0,0,0,0,0,0,0.4868
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,11,89.9742,86.077,10.0258,0,0,0,0,7,24306,0.4868
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,11,89.9742,86.077,10.0258,0,0,0,0,7,24306,0.4868
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,11,89.9742,86.077,10.0258,0,0,0,0,7,24306,0.4868
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,11,89.9742,86.077,10.0258,0,0,0,0,7,24306,0.4868
real_buchwald_hartwig,gp_ucb,12,90.3173,79.8866,9.6827,0,0,0,0,0,0,0.3559
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,12,90.3173,79.8866,9.6827,0,0,0,0,7,26152,0.3559
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,12,90.3173,79.8866,9.6827,0,0,0,0,7,26152,0.3559
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,12,90.3173,79.8866,9.6827,0,0,0,0,7,26152,0.3559
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,12,90.3173,79.8866,9.6827,0,0,0,0,7,26152,0.3559
real_buchwald_hartwig,gp_ucb,13,100.0,98.9599,0.0,1,0,0,0,0,0,0.402
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,13,100.0,98.9599,0.0,1,1,0,0,7,23812,0.402
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,13,100.0,98.9599,0.0,1,1,0,0,7,23812,0.402
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,13,100.0,98.9599,0.0,1,1,0,0,7,23812,0.402
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,13,100.0,98.9599,0.0,1,1,0,0,7,23812,0.402
real_buchwald_hartwig,gp_ucb,14,100.0,99.5397,0.0,1,0,0,0,0,0,0.486
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,14,100.0,99.5397,0.0,1,5,1,0,7,25575,0.486
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,14,100.0,99.5397,0.0,1,5,1,0,7,25575,0.486
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,14,100.0,99.5397,0.0,1,5,1,0,7,25575,0.486
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,14,100.0,99.5397,0.0,1,5,1,0,7,25575,0.486
real_buchwald_hartwig,gp_ucb,15,92.659,76.4884,7.341,0,0,0,0,0,0,0.3975
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,15,93.0289,78.1901,6.9711,0,3,1,0,7,24246,0.3975
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,15,93.0289,78.1901,6.9711,0,3,1,0,7,24246,0.3975
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,15,93.0289,78.1901,6.9711,0,3,1,0,7,24246,0.3975
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,15,93.0289,78.1901,6.9711,0,3,1,0,7,24246,0.3975
real_buchwald_hartwig,gp_ucb,16,95.7526,73.1422,4.2474,0,0,0,0,0,0,0.4634
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,16,70.6299,70.6299,29.3701,0,4,1,0,7,25484,0.4634
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,16,70.6299,70.6299,29.3701,0,4,1,0,7,25484,0.4634
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,16,70.6299,70.6299,29.3701,0,4,1,0,7,25484,0.4634
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,16,70.6299,70.6299,29.3701,0,4,1,0,7,25484,0.4634
real_buchwald_hartwig,gp_ucb,17,100.0,88.7494,0.0,1,0,0,0,0,0,0.4445
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,17,100.0,88.7494,0.0,1,0,0,0,7,25970,0.4445
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,17,100.0,88.7494,0.0,1,0,0,0,7,25970,0.4445
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,17,100.0,88.7494,0.0,1,0,0,0,7,25970,0.4445
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,17,100.0,88.7494,0.0,1,0,0,0,7,25970,0.4445
real_buchwald_hartwig,gp_ucb,18,98.2872,98.2872,1.7128,1,0,0,0,0,0,0.4018
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,18,98.2872,98.2872,1.7128,1,2,2,0,7,22756,0.4018
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,18,98.2872,98.2872,1.7128,1,2,2,0,7,22756,0.4018
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,18,98.2872,98.2872,1.7128,1,2,2,0,7,22756,0.4018
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,18,98.2872,98.2872,1.7128,1,2,2,0,7,22756,0.4018
real_buchwald_hartwig,gp_ucb,19,88.4449,84.5234,11.5551,0,0,0,0,0,0,0.4181
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,19,86.2541,84.2206,13.7459,0,1,0,0,7,16025,0.4181
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,19,86.2541,84.2206,13.7459,0,1,0,0,7,16025,0.4181
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,19,86.2541,84.2206,13.7459,0,1,0,0,7,16025,0.4181
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,19,86.2541,84.2206,13.7459,0,1,0,0,7,16025,0.4181
real_buchwald_hartwig,gp_ucb,20,99.0345,86.111,0.9655,1,0,0,0,0,0,0.4936
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,20,99.0345,86.111,0.9655,1,0,0,0,7,22969,0.4936
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,20,99.0345,86.111,0.9655,1,0,0,0,7,22969,0.4936
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,20,99.0345,86.111,0.9655,1,0,0,0,7,22969,0.4936
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,20,99.0345,86.111,0.9655,1,0,0,0,7,22969,0.4936
real_buchwald_hartwig,gp_ucb,21,98.8492,96.097,1.1508,1,0,0,0,0,0,0.461
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,21,98.8492,96.097,1.1508,1,1,1,0,7,23748,0.461
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,21,98.8492,96.097,1.1508,1,1,1,0,7,23748,0.461
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,21,98.8492,96.097,1.1508,1,1,1,0,7,23748,0.461
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,21,98.8492,96.097,1.1508,1,1,1,0,7,23748,0.461
real_buchwald_hartwig,gp_ucb,22,83.3382,82.2816,16.6618,0,0,0,0,0,0,0.4091
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,22,83.3382,82.2816,16.6618,0,3,1,0,7,27608,0.4091
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,22,83.3382,82.2816,16.6618,0,3,1,0,7,27608,0.4091
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,22,83.3382,82.2816,16.6618,0,3,1,0,7,27608,0.4091
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,22,83.3382,82.2816,16.6618,0,3,1,0,7,27608,0.4091
real_buchwald_hartwig,gp_ucb,23,91.5286,87.1182,8.4714,0,0,0,0,0,0,0.4477
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,23,91.5286,87.1182,8.4714,0,1,1,0,7,22242,0.4477
