source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94009,3,12,49.0313,49.0313,33.8681,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94010,3,12,54.5397,54.278333,28.3597,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94010,3,12,53.7556,48.9423,29.1438,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94010,3,12,52.9142,50.370533,29.9852,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94010,3,12,45.2754,45.2754,37.624,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94011,3,12,57.3502,52.7546,25.5492,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94011,3,12,50.0531,49.268,32.8463,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94011,3,12,55.494,54.103308,27.4054,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94011,3,12,45.3425,45.3425,37.5569,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94012,3,12,56.7576,56.315983,26.1418,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94012,3,12,56.7576,53.477817,26.1418,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94012,3,12,54.222,52.920125,28.6774,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94012,3,12,44.6172,44.6172,38.2822,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94013,3,12,64.0922,59.18055,18.8072,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94013,3,12,50.0531,48.1399,32.8463,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94013,3,12,51.9361,49.350542,30.9633,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94013,3,12,41.7969,39.207025,41.1025,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94014,3,12,82.8994,62.2869,0.0,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94014,3,12,49.8246,47.69355,33.0748,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94014,3,12,76.3198,68.586492,6.5796,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94014,3,12,41.2733,41.2733,41.6261,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94015,3,12,58.8698,56.3839,24.0296,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94015,3,12,53.8,51.859617,29.0994,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94015,3,12,51.0975,49.64275,31.8019,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94015,3,12,42.1577,42.1577,40.7417,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94016,3,12,75.778,70.1697,7.1214,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94016,3,12,61.7597,60.165975,21.1397,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94016,3,12,61.7597,60.697217,21.1397,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94016,3,12,55.3848,55.3848,27.5146,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94017,3,12,60.2309,57.799092,22.6685,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94017,3,12,58.8698,56.177617,24.0296,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94017,3,12,57.677,56.278783,25.2224,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94017,3,12,47.5168,46.049383,35.3826,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94018,3,12,76.3198,76.3198,6.5796,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94018,3,12,76.3198,76.3198,6.5796,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94018,3,12,76.3198,76.3198,6.5796,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94018,3,12,76.3198,76.3198,6.5796,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94019,3,12,62.0506,57.009375,20.8488,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94019,3,12,60.2309,57.565667,22.6685,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94019,3,12,54.5834,53.721408,28.316,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94019,3,12,44.2395,44.2395,38.6599,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94020,3,12,60.2309,60.2309,22.6685,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94020,3,12,60.2309,58.385117,22.6685,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94020,3,12,60.3652,59.375158,22.5342,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94020,3,12,49.1562,49.1562,33.7432,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94021,3,12,60.3652,55.959158,22.5342,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94021,3,12,50.0531,48.131967,32.8463,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94021,3,12,56.7576,52.7285,26.1418,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94021,3,12,46.3069,43.148225,36.5925,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94022,3,12,76.3198,76.3198,6.5796,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94022,3,12,53.8,45.677967,29.0994,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94022,3,12,76.3198,73.4927,6.5796,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94022,3,12,42.3946,42.3946,40.5048,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94023,3,12,58.8698,55.70835,24.0296,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94023,3,12,57.3502,50.050167,25.5492,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94023,3,12,50.5948,46.997967,32.3046,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94023,3,12,41.2964,41.2964,41.603,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94024,3,12,49.7087,47.170825,33.1907,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94024,3,12,50.0531,47.930167,32.8463,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94024,3,12,47.9356,45.194542,34.9638,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94024,3,12,35.8614,35.8614,47.038,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94025,3,12,75.778,67.77035,7.1214,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94025,3,12,62.0506,62.0506,20.8488,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94025,3,12,62.0506,62.0506,20.8488,1,1,512
