dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,hypothesis_confidence,hypothesis_support_count
real_matbench_expt_gap,gate_v1,11,38.75,35.0,61.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,12,32.25,30.675,67.75,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,13,58.5,48.5625,41.5,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,14,28.75,27.6875,71.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,15,32.875,32.875,67.125,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,16,28.625,24.3125,71.375,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,17,38.75,38.75,61.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,18,30.125,28.575,69.875,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,19,78.875,67.6625,21.125,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,20,30.25,30.25,69.75,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,21,50.75,47.3,49.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,22,39.0,39.0,61.0,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,23,63.75,63.75,36.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,24,11.0,11.0,89.0,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,25,28.625,19.875,71.375,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,26,32.5,32.5,67.5,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,27,20.75,20.525,79.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,28,48.75,45.625,51.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v1,29,48.75,46.1125,51.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,0,47.5,47.5,52.5,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,1,71.375,71.375,28.625,0,1,1,0,0.5,0
real_matbench_expt_gap,gate_v2,2,37.875,32.6375,62.125,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,3,32.25,26.8125,67.75,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,4,20.75,14.1625,79.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,5,86.125,86.125,13.875,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,6,36.25,36.25,63.75,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,7,70.625,61.625,29.375,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,8,91.25,83.4625,8.75,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,9,91.25,74.2125,8.75,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,10,17.125,16.7,82.875,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,11,38.75,35.0,61.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,12,32.25,30.675,67.75,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,13,58.5,48.5625,41.5,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,14,28.75,27.6875,71.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,15,32.875,32.875,67.125,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,16,28.625,24.3125,71.375,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,17,38.75,38.75,61.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,18,30.125,28.575,69.875,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,19,78.875,67.6625,21.125,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,20,30.25,30.25,69.75,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,21,50.75,47.3,49.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,22,39.0,39.0,61.0,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,23,63.75,63.75,36.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,24,11.0,11.0,89.0,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,25,28.625,19.875,71.375,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,26,32.5,32.5,67.5,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,27,20.75,20.525,79.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,28,48.75,45.625,51.25,0,0,0,0,0.5,0
real_matbench_expt_gap,gate_v2,29,48.75,46.1125,51.25,0,0,0,0,0.5,0
