target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93028,3,10,baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_006;baumgartner_cn_aniline_ephos_001,,96.4441,92.71958,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93029,3,10,baumgartner_cn_aniline_ephos_028;baumgartner_cn_aniline_ephos_005;baumgartner_cn_aniline_ephos_029,,96.4441,94.64203,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93030,3,10,baumgartner_cn_aniline_ephos_016;baumgartner_cn_aniline_ephos_014;baumgartner_cn_aniline_ephos_023,,96.4441,67.58293,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93031,3,10,baumgartner_cn_aniline_ephos_022;baumgartner_cn_aniline_ephos_025;baumgartner_cn_aniline_ephos_007,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93032,3,10,baumgartner_cn_aniline_ephos_029;baumgartner_cn_aniline_ephos_008;baumgartner_cn_aniline_ephos_032,,98.6297,63.81557,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93033,3,10,baumgartner_cn_aniline_ephos_004;baumgartner_cn_aniline_ephos_026;baumgartner_cn_aniline_ephos_016,,98.6297,85.47442,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93034,3,10,baumgartner_cn_aniline_ephos_007;baumgartner_cn_aniline_ephos_003;baumgartner_cn_aniline_ephos_027,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93035,3,10,baumgartner_cn_aniline_ephos_009;baumgartner_cn_aniline_ephos_015;baumgartner_cn_aniline_ephos_010,,98.6297,86.27162,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93036,3,10,baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_030;baumgartner_cn_aniline_ephos_006,,96.4441,92.71958,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93037,3,10,baumgartner_cn_aniline_ephos_001;baumgartner_cn_aniline_ephos_015;baumgartner_cn_aniline_ephos_006,,96.4441,83.9109,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93038,3,10,baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_010;baumgartner_cn_aniline_ephos_011,,96.4441,93.47358,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93039,3,10,baumgartner_cn_aniline_ephos_007;baumgartner_cn_aniline_ephos_025;baumgartner_cn_aniline_ephos_026,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93040,3,10,baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_004;baumgartner_cn_aniline_ephos_029,,96.4441,92.83996,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93041,3,10,baumgartner_cn_aniline_ephos_034;baumgartner_cn_aniline_ephos_005;baumgartner_cn_aniline_ephos_010,,96.4441,94.95884,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93042,3,10,baumgartner_cn_aniline_ephos_033;baumgartner_cn_aniline_ephos_011;baumgartner_cn_aniline_ephos_023,,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93043,3,10,baumgartner_cn_aniline_ephos_034;baumgartner_cn_aniline_ephos_002;baumgartner_cn_aniline_ephos_008,,98.6297,92.20688,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93044,3,10,baumgartner_cn_aniline_ephos_020;baumgartner_cn_aniline_ephos_027;baumgartner_cn_aniline_ephos_024,,96.4441,82.27366,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93045,3,10,baumgartner_cn_aniline_ephos_001;baumgartner_cn_aniline_ephos_014;baumgartner_cn_aniline_ephos_022,,96.4441,93.47358,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93046,3,10,baumgartner_cn_aniline_ephos_018;baumgartner_cn_aniline_ephos_001;baumgartner_cn_aniline_ephos_026,,98.6297,62.84366,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93047,3,10,baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_011;baumgartner_cn_aniline_ephos_026,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93048,3,10,baumgartner_cn_aniline_ephos_029;baumgartner_cn_aniline_ephos_014;baumgartner_cn_aniline_ephos_009,,96.4441,90.57284,2.1856,1
