source_dataset,target_dataset,family,mode,policy,seeds,calibration_seeds,heldout_seeds,final_best_mean,final_best_std,best_so_far_auc_mean,best_so_far_auc_std,top10_hit_mean,top10_hit_std,balanced_score,cal_final_best_mean,cal_final_best_std,cal_best_so_far_auc_mean,cal_best_so_far_auc_std,cal_top10_hit_mean,cal_top10_hit_std,cal_balanced_score,heldout_final_best_mean,heldout_final_best_std,heldout_best_so_far_auc_mean,heldout_best_so_far_auc_std,heldout_top10_hit_mean,heldout_top10_hit_std,heldout_balanced_score
real_chemlex_acidamine,real_buchwald_hartwig,transfer_gate,transfer_strict_gate_v1,transfer_gate:transfer_strict_gate_v1,50,25,25,85.9583,13.8409,79.8331,13.4357,0.14,0.347,165.9314,87.7115,10.1563,82.1377,10.3556,0.16,0.3666,170.0092,84.205,16.5482,77.5286,15.594,0.12,0.325,161.8536
real_chemlex_acidamine,real_buchwald_hartwig,transfer_gate,transfer_value_prior_gate_v1,transfer_gate:transfer_value_prior_gate_v1,50,25,25,87.4341,12.8936,80.833,12.5675,0.16,0.3666,168.4271,88.2422,9.9392,82.2885,10.1481,0.12,0.325,170.6507,86.6259,15.2446,79.3774,14.4451,0.2,0.4,166.2033
real_chemlex_acidamine,real_buchwald_hartwig,transfer_gate,transfer_value_prior_strict_gate_v1,transfer_gate:transfer_value_prior_strict_gate_v1,50,25,25,85.9583,13.8409,79.8331,13.4357,0.14,0.347,165.9314,87.7115,10.1563,82.1377,10.3556,0.16,0.3666,170.0092,84.205,16.5482,77.5286,15.594,0.12,0.325,161.8536
real_chemlex_acidamine,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_0p25,weighted_kernel:transfer_weighted_gp_ucb_scale_0p25,50,25,25,90.1018,9.9266,82.2035,12.617,0.28,0.449,172.5853,91.9972,6.784,86.5158,7.2822,0.32,0.4665,178.833,88.2065,11.9945,77.8913,15.1048,0.24,0.4271,166.3378
real_chemlex_acidamine,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_0p5,weighted_kernel:transfer_weighted_gp_ucb_scale_0p5,50,25,25,90.0201,10.0176,82.2964,12.4207,0.26,0.4386,172.5765,92.1441,6.5572,86.7626,7.0873,0.32,0.4665,179.2267,87.8961,12.1936,77.8302,14.7792,0.2,0.4,165.9263
real_chemlex_acidamine,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_1,weighted_kernel:transfer_weighted_gp_ucb_scale_1,50,25,25,90.102,9.2277,82.6992,11.5402,0.26,0.4386,173.0612,91.7894,7.1842,86.727,6.8998,0.32,0.4665,178.8364,88.4145,10.6299,78.6714,13.6491,0.2,0.4,167.2859
real_chemlex_acidamine,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_1p5,weighted_kernel:transfer_weighted_gp_ucb_scale_1p5,50,25,25,89.7795,11.0447,82.4875,12.6927,0.26,0.4386,172.527,92.069,7.223,87.1964,6.8047,0.32,0.4665,179.5854,87.49,13.4653,77.7786,15.2171,0.2,0.4,165.4686
real_chemlex_acidamine,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_2,weighted_kernel:transfer_weighted_gp_ucb_scale_2,50,25,25,90.5758,8.899,83.1126,11.4691,0.26,0.4386,173.9484,92.3,6.7853,86.8039,7.5982,0.32,0.4665,179.4239,88.8517,10.315,79.4213,13.3453,0.2,0.4,168.473
real_chemlex_acidamine,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_3,weighted_kernel:transfer_weighted_gp_ucb_scale_3,50,25,25,89.1529,11.0539,81.3192,12.8239,0.24,0.4271,170.7121,91.6777,6.4847,85.0692,9.2349,0.28,0.449,177.0269,86.628,13.7687,77.5693,14.6799,0.2,0.4,164.3973
real_chemlex_acidamine,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_4,weighted_kernel:transfer_weighted_gp_ucb_scale_4,50,25,25,88.0888,11.7732,81.2505,12.7094,0.24,0.4271,169.5793,87.847,11.6416,83.3909,12.1878,0.24,0.4271,171.4779,88.3306,11.8984,79.1101,12.8589,0.24,0.4271,167.6807
