source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations,development_target
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80003,3,12,85.4,80.441667,13.3,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80004,3,12,91.8,86.9,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80004,3,12,83.9,78.933333,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80004,3,12,91.8,88.533333,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80004,3,12,83.9,81.816667,14.8,0,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.25_0.00,80004,3,12,83.9,81.683333,14.8,0,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.40_0.05,80004,3,12,83.1,81.283333,15.6,0,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80004,3,12,83.9,78.666667,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80005,3,12,91.8,85.875,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80005,3,12,83.9,83.9,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80005,3,12,83.9,83.9,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80005,3,12,83.9,83.9,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.25_0.00,80005,3,12,83.9,83.9,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.40_0.05,80005,3,12,83.9,83.9,14.8,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80005,3,12,85.4,84.15,13.3,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80006,3,12,83.9,83.433333,14.8,0,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80006,3,12,83.9,83.316667,14.8,1,2,192,real_reizman_suzuki_case_1
