dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,transfer_strict_gate_v1,15,92.7651,86.0158,7.2349,0,1,1,0,7,641,48,0.4199,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,15,92.7651,86.0158,7.2349,0,1,1,0,7,641,48,0.4199,0.5,0
real_suzuki_miyaura,incumbent,16,98.6922,95.8006,1.3078,1,0,0,0,0,0,48,0.4418,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,16,98.6922,95.8006,1.3078,1,4,1,0,7,384,48,0.4418,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,16,98.6922,95.8006,1.3078,1,4,1,0,7,384,48,0.4418,0.5,0
real_suzuki_miyaura,incumbent,17,97.4549,96.6879,2.5451,0,0,0,0,0,0,48,0.3583,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,17,97.4549,96.6879,2.5451,0,6,5,0,7,139,48,0.3583,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,17,97.4549,96.6879,2.5451,0,6,5,0,7,139,48,0.3583,0.5,0
real_suzuki_miyaura,incumbent,18,94.8183,94.8183,5.1817,0,0,0,0,0,0,48,0.3941,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,18,98.2021,95.8334,1.7979,1,5,2,0,7,126,48,0.3941,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,18,98.2021,95.8334,1.7979,1,5,2,0,7,126,48,0.3941,0.5,0
real_suzuki_miyaura,incumbent,19,87.814,85.4643,12.186,0,0,0,0,0,0,48,0.4178,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,19,84.7999,83.988,15.2001,0,6,1,0,7,263,48,0.4178,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,19,83.8978,83.8978,16.1022,0,6,4,0,6,199,48,0.4178,0.5,0
real_suzuki_miyaura,incumbent,20,93.4276,90.906,6.5724,0,0,0,0,0,0,48,0.3143,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,20,93.4276,90.906,6.5724,0,0,0,0,0,0,48,0.3143,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,20,93.4276,90.906,6.5724,0,0,0,0,0,0,48,0.3143,0.5,0
real_suzuki_miyaura,incumbent,21,91.8802,90.492,8.1198,0,0,0,0,0,0,48,0.3974,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,21,91.8802,90.492,8.1198,0,6,3,1,7,319,48,0.3974,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,21,92.2207,90.5601,7.7793,0,7,2,0,7,270,48,0.3974,0.5,0
real_suzuki_miyaura,incumbent,22,91.8179,83.6703,8.1821,0,0,0,0,0,0,48,0.3589,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,22,91.8179,84.0232,8.1821,0,3,2,0,6,128,48,0.3589,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,22,91.8179,84.0232,8.1821,0,3,2,0,6,128,48,0.3589,0.5,0
real_suzuki_miyaura,incumbent,23,93.6487,93.6214,6.3513,0,0,0,0,0,0,48,0.3804,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,23,98.6922,96.7609,1.3078,1,4,0,0,7,133,48,0.3804,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,23,98.6922,96.7609,1.3078,1,4,0,0,7,133,48,0.3804,0.5,0
real_suzuki_miyaura,incumbent,24,93.0473,93.0473,6.9527,0,0,0,0,0,0,48,0.4124,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,24,93.0473,93.0473,6.9527,0,1,1,0,7,1556,48,0.4124,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,24,93.0473,93.0473,6.9527,0,1,1,0,7,1556,48,0.4124,0.5,0
real_suzuki_miyaura,incumbent,25,100.0,100.0,0.0,1,0,0,0,0,0,48,0.3864,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,25,100.0,100.0,0.0,1,4,4,0,7,650,48,0.3864,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,25,100.0,100.0,0.0,1,6,6,0,7,403,48,0.3864,0.5,0
real_suzuki_miyaura,incumbent,26,93.7818,87.5551,6.2182,0,0,0,0,0,0,48,0.3981,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,26,93.7818,87.5551,6.2182,0,0,0,0,7,126,48,0.3981,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,26,93.7818,87.5551,6.2182,0,0,0,0,7,126,48,0.3981,0.5,0
real_suzuki_miyaura,incumbent,27,94.7131,84.2313,5.2869,0,0,0,0,0,0,48,0.3871,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,27,79.1008,75.9849,20.8992,0,6,6,0,6,117,48,0.3871,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,27,79.1008,75.9849,20.8992,0,6,6,0,6,117,48,0.3871,0.5,0
real_suzuki_miyaura,incumbent,28,80.5675,74.035,19.4325,0,0,0,0,0,0,48,0.4252,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,28,88.221,78.9441,11.779,0,7,1,0,7,28,48,0.4252,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,28,88.221,78.9441,11.779,0,7,1,0,7,28,48,0.4252,0.5,0
real_suzuki_miyaura,incumbent,29,88.1923,73.6355,11.8077,0,0,0,0,0,0,48,0.3784,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,29,63.2787,58.0745,36.7213,0,5,5,0,7,119,48,0.3784,0.5,0
real_suzuki_miyaura,transfer_strict_plus_local_gate_v1,29,63.2787,58.0745,36.7213,0,5,5,0,7,119,48,0.3784,0.5,0
