source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations,experiment_id
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81005,3,12,99.8,99.75,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81005,3,12,99.5,99.5,0.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81005,3,12,99.8,99.625,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81005,3,12,99.8,99.775,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81005,3,12,99.8,99.75,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81006,3,12,99.8,99.583333,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81006,3,12,99.8,98.791667,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81006,3,12,99.8,99.45,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81006,3,12,99.8,99.683333,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81006,3,12,99.8,99.583333,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81007,3,12,99.8,97.675,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81007,3,12,94.1,93.441667,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81007,3,12,94.1,92.783333,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81007,3,12,99.5,95.2,0.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81007,3,12,99.8,97.675,0.0,1,3,288,reizman_cases_123_to_case4
