source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94110,3,12,44.3539,44.3539,47.2495,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94110,3,12,66.2415,58.185025,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94110,3,12,75.3728,69.30045,16.2306,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94110,3,12,37.9,36.9289,53.7034,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94111,3,12,91.6034,91.6034,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94111,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94111,3,12,41.86,39.509425,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94111,3,12,66.8332,44.508692,24.7702,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94112,3,12,87.0625,86.892,4.5409,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94112,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94112,3,12,41.86,39.509425,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94112,3,12,66.8332,42.255933,24.7702,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94113,3,12,90.5524,74.564333,1.051,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94113,3,12,66.2415,63.41585,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94113,3,12,40.5457,37.170242,51.0577,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94113,3,12,34.7592,33.748575,56.8442,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94114,3,12,91.6034,82.168367,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94114,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94114,3,12,68.3504,42.522533,23.253,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94114,3,12,41.5057,33.441325,50.0977,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94115,3,12,85.1743,68.792233,6.4291,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94115,3,12,40.5457,40.18715,51.0577,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94115,3,12,85.1743,64.714633,6.4291,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94115,3,12,36.2431,36.2431,55.3603,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94116,3,12,45.5251,45.5251,46.0783,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94116,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94116,3,12,41.86,39.509425,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94116,3,12,30.7198,30.514717,60.8836,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94117,3,12,40.5457,39.870783,51.0577,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94117,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94117,3,12,40.5457,39.071325,51.0577,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94117,3,12,66.8332,60.77615,24.7702,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94118,3,12,68.3504,52.752075,23.253,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94118,3,12,66.2415,63.883717,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94118,3,12,68.3504,43.741542,23.253,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94118,3,12,66.8332,57.204833,24.7702,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94119,3,12,51.3638,50.1937,40.2396,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94119,3,12,40.5457,39.910467,51.0577,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94119,3,12,91.0347,72.170708,0.5687,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94119,3,12,32.9229,32.9229,58.6805,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94120,3,12,87.1479,83.629092,4.4555,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94120,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94120,3,12,41.86,39.509425,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94120,3,12,27.9579,27.9579,63.6455,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94121,3,12,86.7215,85.693467,4.8819,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94121,3,12,66.2415,63.3969,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94121,3,12,40.5457,37.050983,51.0577,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94121,3,12,32.1063,32.1063,59.4971,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94122,3,12,84.3384,81.34145,7.265,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94122,3,12,41.86,40.72235,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94122,3,12,82.6626,72.674033,8.9408,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94122,3,12,60.9151,43.5166,30.6883,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94123,3,12,41.3864,35.9533,50.217,0,1,512
