source_dataset,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_observations,source_inducing_points,pair_id,split
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70011,2,13,100.0,78.596154,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70012,2,13,56.25,34.971154,43.75,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70012,2,13,100.0,69.230769,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70012,2,13,100.0,70.769231,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70013,2,13,63.75,32.567308,36.25,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70013,2,13,100.0,69.230769,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70013,2,13,25.0,14.192308,75.0,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70014,2,13,41.25,22.403846,58.75,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70014,2,13,100.0,92.307692,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70014,2,13,41.25,22.403846,58.75,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70015,2,13,100.0,79.625,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70015,2,13,100.0,92.480769,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70015,2,13,52.125,35.769231,47.875,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70016,2,13,86.125,50.442308,13.875,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70016,2,13,100.0,95.951923,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
